guest_id;beer;bottled_beer;cocktail;drinks_nos;energy_drink;hot_drinks;soft_drink;spirit;tap_beer;wine;fast_food;food_nos;ice_cream;slow_food;snack;sweets;camping;deposit;facilities;festival;merchandising;non_food_nos;tobacco;nos;cup;warranty;total_order_tkn
895058;1;0;0;0;0;2;5;2;8;0;5;0;0;0;2;1;0;22;0;1;0;0;3;0;0;0;9800
891232;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;4900
891272;1;0;0;0;0;0;0;8;5;0;5;0;0;1;0;0;1;15;1;0;0;0;0;0;0;0;10800
891264;10;0;0;0;0;0;3;0;4;0;1;0;0;0;1;3;0;4;1;1;1;0;1;0;0;0;15000
891259;0;0;0;1;0;1;10;0;0;0;6;0;0;0;6;7;0;2;0;0;0;0;1;0;0;0;13500
891249;2;0;0;0;1;6;4;4;8;0;9;2;0;2;3;2;0;23;2;0;0;0;0;0;0;0;18900
891250;3;0;0;0;0;2;0;0;2;5;2;1;0;0;3;0;0;8;0;0;0;0;0;0;0;0;7200
891269;0;0;0;1;0;1;0;0;3;0;3;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;2200
891248;0;0;0;0;0;0;1;0;22;0;0;1;0;0;0;2;0;25;0;0;0;0;0;0;0;0;9700
891231;0;0;0;1;0;0;0;0;0;0;4;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;3750
891256;1;0;0;0;0;0;0;4;3;0;3;0;0;0;2;0;2;4;1;0;0;0;0;0;0;0;7000
891255;0;0;0;0;0;0;0;3;1;0;2;0;0;2;0;0;2;6;0;0;0;0;0;0;0;0;3400
891236;1;0;0;3;0;7;6;0;3;0;8;0;0;0;0;3;0;2;1;0;0;0;1;0;0;0;13420
891271;20;0;0;1;1;0;8;1;0;0;5;0;0;0;0;0;1;16;0;1;0;0;2;0;0;0;14000
891235;1;0;0;0;0;2;0;0;1;0;4;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;2500
891229;0;0;0;1;0;8;3;0;2;0;5;0;0;0;2;0;1;2;1;0;0;0;0;1;0;0;9880
891241;6;0;0;0;1;0;2;3;14;0;1;0;0;0;1;0;1;16;0;0;0;0;0;0;0;0;15250
891261;0;0;0;0;0;0;0;9;3;0;3;0;0;0;0;0;0;11;0;1;0;0;0;0;0;0;10100
891237;10;0;0;0;0;0;3;6;0;0;2;0;0;0;1;0;1;11;1;0;0;0;0;0;0;0;9500
891275;12;0;0;1;0;2;1;0;0;0;8;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;12190
891270;0;0;0;0;0;0;2;19;0;0;0;0;0;0;4;3;1;18;1;0;0;0;0;0;0;0;17750
891274;2;0;0;0;1;4;6;8;8;0;3;0;0;0;2;0;1;24;1;0;0;0;0;1;0;0;15850
891242;2;0;0;0;0;1;0;1;7;0;1;0;0;0;0;0;1;11;1;0;0;0;0;0;0;0;6650
