guest_id;total_topup_value_tkn;number_topups;total_order_value_tkn;number_orders;topup_method;first_scan_timestamp;first_order_timestamp;first_topup_timestamp;first_topup_after_check_in
895058;100.0;1;98.0;22;cashless;2019-07-18 20:36:31;2019-07-19 14:13:11;2019-07-15 14:26:56;
891244;140.0;2;0.0;0;cashless;;;2019-07-15 14:50:10;
891232;150.0;1;49.0;6;cash;2019-07-20 18:57:08;2019-07-20 20:54:53;2019-07-20 20:29:17;2019-07-20 20:29:17
891272;140.0;2;108.0;20;cashless;2019-07-18 17:08:36;2019-07-19 22:09:12;2019-07-15 14:50:11;2019-07-21 19:49:29
891264;153.0;2;150.0;17;cashless;2019-07-18 16:34:51;2019-07-19 17:55:06;2019-07-15 15:36:12;
891259;150.0;1;135.0;23;cashless;2019-07-18 15:23:33;2019-07-18 15:47:15;2019-07-15 14:50:11;
891249;250.0;2;189.0;40;cashless;2019-07-19 19:54:08;2019-07-19 20:25:00;2019-07-19 12:26:24;2019-07-21 20:08:02
891250;100.0;1;72.0;15;cashless;2019-07-19 16:34:08;2019-07-19 17:21:37;2019-07-15 21:01:18;
891269;40.0;1;22.0;10;cashless;2019-07-18 20:00:22;2019-07-19 14:01:07;2019-07-18 16:08:17;
891248;100.0;1;97.0;24;cashless;2019-07-19 16:34:03;2019-07-19 16:43:52;2019-07-15 20:33:14;
891231;39.0;2;37.5;7;cash;2019-07-19 16:48:53;2019-07-19 21:30:24;2019-07-19 17:05:21;2019-07-19 17:05:21
891256;200.0;2;70.0;12;cashless;2019-07-18 14:27:59;2019-07-19 16:21:33;2019-07-15 20:57:53;
891255;100.0;1;34.0;9;cashless;2019-07-19 12:43:40;2019-07-19 16:21:01;2019-07-15 21:23:59;
891236;150.0;1;134.2;19;cash;2019-07-19 17:33:01;2019-07-19 21:51:38;2019-07-19 20:53:08;2019-07-19 20:53:08
891271;140.0;2;140.0;19;cashless;2019-07-18 13:24:53;2019-07-18 15:10:06;2019-07-15 14:50:12;2019-07-21 11:42:30
