"item_id	item_name	category	department"
"196	5	nos	other"
"747	10	nos	other"
"1836	Duschen	facilities	non_food"
"2092	Cocktails	spirit	drinks"
"2102	Shots	spirit	drinks"
"2288	Cafe Latte	nos	other"
"4089	Cappuccino	hot_drinks	drinks"
"4420	Espresso Doppio	hot_drinks	drinks"
"4462	Americano	hot_drinks	drinks"
"4684	Limo	soft_drink	drinks"
"5541	Espresso	drinks_nos	drinks"
"5685	Iced Drinks 0"
"5686	Nitro Cold Brew 0"
"5687	Cold Brew 0"
"5704	Knobi Brot Pur	food_nos	food"
"5705	Knobi Kaese	food_nos	food"
"5706	Knobi Salami	food_nos	food"
"5707	Knobi Tomate Rucola	food_nos	food"
"5708	Knobi Thunfisch	food_nos	food"
"5822	Eiskaffee 0"
"5824	Eiskaffee 0"
"5874	Wrigleys Spearmint	food_nos	food"
"5875	Feuerzeug	non_food_nos	non_food"
"5939	Kakao 0"
"6004	T-Shirt	non_food_nos	non_food"
"6039	Dessert Muesli Salat 0"
"6054	1	nos	other"
"6057	5	nos	other"
"6058	10	nos	other"
"6064	1	nos	other"
"6102	Jaegermeister Cola	drinks_nos	drinks"
"6120	Original Blue	tobacco	non_food"
"6121	Original Green	tobacco	non_food"
"6122	Original Yellow	tobacco	non_food"
"6123	Original Orange	tobacco	non_food"
"6124	Original  Blue Pouch	tobacco	non_food"
"6125	Orginal Yellow Pouch	tobacco	non_food"
"6126	Master Blend Gold Pouch	tobacco	non_food"
"6127	Camel Yellow L	tobacco	non_food"
"6128	Camel Yellow XXXXL	tobacco	non_food"
"6129	Camel Blue L	tobacco	non_food"
"6130	Camel Blue XXXXL	tobacco	non_food"
"6131	Camel Essential Filters	tobacco	non_food"
"6132	Camel Essentiela Blue	tobacco	non_food"
"6453	Strawberry & Friends	drinks_nos	drinks"
"6454	Maracujacaipi	drinks_nos	drinks"
"6490	Ipanema	drinks_nos	drinks"
"6569	Killnoise Plug	festival	non_food"
"6571	Killnoise Regenponcho	festival	non_food"
"6573	WC	facilities	non_food"
"6574	Service Flat	facilities	non_food"
"6575	Sani Flat	facilities	non_food"
"6576	Shuttle Flat	facilities	non_food"
"6577	Service Flat	festival	non_food"
"6578	Sani Flat	festival	non_food"
"6579	Shuttle Flat	festival	non_food"
"6581	Hotel Shuttle Flat	festival	non_food"
"6582	Hotel Shuttle 1x Fahrt	festival	non_food"
"6583	Drink	spirit	drinks"
"6584	Souvenir 1	merchandising	non_food"
"6587	Flatrate Goldeimer	facilities	non_food"
"6588	Einzelschiss	facilities	non_food"
"6589	Samstag Flat	facilities	non_food"
"6590	Sonntag Flat	facilities	non_food"
"6591	Muellpfand	camping	non_food"
"6592	Melt Goodie	merchandising	non_food"
"6593	Miete Powerstation	camping	non_food"
"6594	Miete Powerst u Kuehlbox	camping	non_food"
"6595	Miete Kuehlbox	camping	non_food"
"6596	Postkarte	nos	other"
"6597	Compact Hammock	camping	non_food"
"6599	Orig-Double Hammock	camping	non_food"
"6600	King Size Hammock	camping	non_food"
"6604	Nautical Ropes	camping	non_food"
"6605	Moon Straps	camping	non_food"
"6619	Orig-Double Hammock 20	camping	non_food"
"6620	King Size Hammock 20	camping	non_food"
"6624	Nautical Ropes 20	camping	non_food"
"6625	Moon Straps 20	camping	non_food"
"6628	Convertible Bug Net 360	camping	non_food"
"6642	Eco-friendly bags	camping	non_food"
"6644	Mini Backpack 20	camping	non_food"
"6648	sun screen 30 big	camping	non_food"
"6649	sun screen 50 small	camping	non_food"
"6650	Toothbrase	camping	non_food"
"6651	Toothbast	camping	non_food"
"6652	Sun screen 30 small	camping	non_food"
"6653	After sun small	camping	non_food"
"6654	tampons	camping	non_food"
"6655	Labelo	camping	non_food"
"6656	sun screen 50 big	camping	non_food"
"6657	Tampons	camping	non_food"
"6658	Pads	camping	non_food"
"6659	Hand cream	camping	non_food"
"6660	After sun big	camping	non_food"
"6661	Shampoo + Soap	camping	non_food"
"6662	Deodorant M-F Small	camping	non_food"
"6663	Deodorant M-F Big	camping	non_food"
"6664	Toilet paper	camping	non_food"
"6665	Hand disinfection small	camping	non_food"
"6666	Hand disinfection Big	camping	non_food"
"6667	Mosquito repellent small	camping	non_food"
"6668	Mosquito repellent Big	camping	non_food"
"6669	Mouth wash	camping	non_food"
"6670	Condoms	camping	non_food"
"6671	fans	camping	non_food"
"6672	earplgs	camping	non_food"
"6673	patches to fix tents	camping	non_food"
"6674	AA + AAA Battery	camping	non_food"
"6675	M+L+9V Battery	camping	non_food"
"6676	Ear plugs	camping	non_food"
"6677	Tent pegs	camping	non_food"
"6678	Fans	camping	non_food"
"6679	Super glue	camping	non_food"
"6680	Repair patch	camping	non_food"
"6681	Check equipment	camping	non_food"
"6682	repair equipment	camping	non_food"
"6683	Flashlight	camping	non_food"
"6684	Rain coat	camping	non_food"
"6685	gas ballons long	camping	non_food"
"6686	gas ballon pick	camping	non_food"
"6687	gas ballon easy click	camping	non_food"
"6688	gas ballon scrow Red s	camping	non_food"
"6690	gas ballon scrow green	camping	non_food"
"6691	gas ballon scrow Black	camping	non_food"
"6692	Bon Bon	snack	food"
"6693	Snack Bars	snack	food"
"6694	Crisps	snack	food"
"6695	Chewing gum	snack	food"
"6696	Gummy bars	snack	food"
"6697	Cafe Bags	camping	non_food"
"6698	Tent for 1	camping	non_food"
"6699	Tent for 1 refund	camping	non_food"
"6700	Tent for 2	camping	non_food"
"6701	Tent for 2 refund	camping	non_food"
"6702	Tent for 3	camping	non_food"
"6703	Tent for 3 refund	camping	non_food"
"6704	Tent for 4	camping	non_food"
